# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	category
GO:0045653	BP	e	negative regulation of megakaryocyte differentiation	14/970	18/19370	6.164874078568191e-08	8	14	0.00041338369207799373	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313	A375 Melanoma cells
GO:0006164	BP	e	purine nucleotide biosynthetic process	7/970	11/19370	2.1372016012661235e-07	9	7	0.00041338369207799373	158, 3251, 4522, 5471, 5634, 5635, 5636	A375 Melanoma cells
GO:0006335	BP	e	DNA replication-dependent nucleosome assembly	14/970	32/19370	2.294621500588419e-07	9	14	0.00041338369207799373	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313	A375 Melanoma cells
GO:0046718	BP	e	viral entry into host cell	33/970	97/19370	2.81882915047753e-07	6	33	0.00041338369207799373	290, 682, 949, 950, 975, 1508, 1514, 1525, 1604, 1605, 1948, 1956, 1969, 3383, 3673, 3678, 3685, 3688, 3693, 3916, 3921, 3949, 4179, 4684, 4864, 5818, 6510, 6520, 7037, 7301, 8829, 9213, 83737	A375 Melanoma cells
GO:0006352	BP	e	DNA-templated transcription, initiation	15/970	33/19370	3.286645178772116e-07	8	15	0.00041338369207799373	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 23054, 121504, 554313	A375 Melanoma cells
GO:1903078	BP	e	positive regulation of protein localization to plasma membrane	14/970	55/19370	3.6121617889784424e-07	8	14	0.00041338369207799373	493, 1956, 1969, 2042, 2048, 3675, 3688, 3799, 4035, 5621, 6810, 7430, 8878, 25921	A375 Melanoma cells
GO:0006336	BP	e	DNA replication-independent nucleosome assembly	14/970	27/19370	3.662845552612698e-07	9	14	0.00041338369207799373	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313	A375 Melanoma cells
GO:0032200	BP	e	telomere organization	14/970	27/19370	3.662845552612698e-07	6	14	0.00041338369207799373	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313	A375 Melanoma cells
GO:0018108	BP	e	peptidyl-tyrosine phosphorylation	24/970	128/19370	3.6850983913294935e-07	9	24	0.00041338369207799373	1956, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 2065, 2241, 2260, 2264, 2321, 3643, 3716, 4067, 4233, 4919, 4921, 5159, 5605, 7301, 7525	A375 Melanoma cells
GO:0098609	BP	e	cell-cell adhesion	26/970	149/19370	3.83191026337924e-07	3	26	0.00041338369207799373	301, 960, 965, 1000, 1266, 1495, 1824, 1829, 1952, 1956, 2195, 3655, 3911, 4040, 4897, 5818, 6282, 6464, 7094, 9414, 9620, 10458, 11187, 55243, 120114, 257194	A375 Melanoma cells
GO:0007169	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	25/970	129/19370	4.236052082670722e-07	7	25	0.00041338369207799373	1956, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 2065, 2241, 2260, 2264, 2321, 3480, 3643, 4067, 4233, 4921, 5159, 5793, 6464, 7301, 7525, 9019	A375 Melanoma cells
GO:0010977	BP	e	negative regulation of neuron projection development	16/970	64/19370	4.4525656993606823e-07	8	16	0.00041338369207799373	567, 1522, 1948, 2043, 2288, 2316, 4035, 5793, 5802, 6695, 7431, 8934, 9529, 10371, 59341, 81618	A375 Melanoma cells
GO:0071526	BP	e	semaphorin-plexin signaling pathway	13/970	34/19370	4.6393943984830846e-07	6	13	0.00041338369207799373	396, 2316, 4233, 7869, 8482, 8829, 10371, 10501, 10507, 10512, 23129, 23654, 54910	A375 Melanoma cells
GO:0033674	BP	e	positive regulation of kinase activity	21/970	73/19370	4.938605972784861e-07	9	21	0.00041338369207799373	972, 1956, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 2065, 2260, 2264, 2321, 3480, 3643, 4233, 4919, 4921, 5159, 7301	A375 Melanoma cells
GO:0033627	BP	e	cell adhesion mediated by integrin	9/970	22/19370	5.257982976665929e-07	3	9	0.00041338369207799373	1307, 3383, 3673, 3678, 3685, 3688, 3693, 6868, 8754	A375 Melanoma cells
GO:0035987	BP	e	endodermal cell differentiation	12/970	28/19370	5.44251966272147e-07	4	12	0.00041338369207799373	1284, 1303, 2335, 3676, 3678, 3679, 3685, 3693, 3912, 4313, 4323, 4324	A375 Melanoma cells
GO:0016477	BP	e	cell migration	36/970	243/19370	5.69399024900818e-07	4	36	0.00041338369207799373	960, 1289, 1399, 1495, 1969, 2022, 2042, 2049, 2195, 2260, 2264, 2321, 2530, 2817, 2909, 3685, 3688, 3693, 3897, 3911, 3912, 4233, 5159, 5792, 5796, 5861, 6548, 6624, 7057, 7301, 8754, 9289, 11117, 23433, 64285, 140885	A375 Melanoma cells
GO:0006892	BP	e	post-Golgi vesicle-mediated transport	8/970	17/19370	6.234778639012935e-07	6	8	0.00042538334406934185	403, 1785, 6102, 6272, 8773, 10066, 10067, 114815	A375 Melanoma cells
GO:0007160	BP	e	cell-matrix adhesion	19/970	93/19370	6.949722770314672e-07	4	19	0.00042538334406934185	960, 2335, 3672, 3673, 3675, 3676, 3679, 3685, 3688, 3693, 3897, 4811, 5829, 7414, 8754, 8910, 10225, 11117, 50509	A375 Melanoma cells
