# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	10/410	30/19370	1.4648039227212486e-07	5	10	0.001807861001422565	972, 1509, 1515, 3108, 3109, 3117, 3118, 3122, 5641, 10437
GO:1903543	BP	e	positive regulation of exosomal secretion	6/410	15/19370	3.692077206708911e-07	9	6	0.001887132670983092	6386, 7879, 9146, 9525, 10015, 27183
GO:0006886	BP	e	intracellular protein transport	22/410	279/19370	5.749817069632776e-07	6	22	0.001887132670983092	972, 5869, 5878, 7805, 8676, 8775, 8924, 9482, 10483, 10938, 10961, 22931, 23011, 23062, 23673, 26088, 26154, 51552, 51699, 55737, 64374, 81876
GO:0007229	BP	e	integrin-mediated signaling pathway	13/410	93/19370	6.116132461458732e-07	6	13	0.001887132670983092	102, 998, 3676, 3678, 3688, 3689, 4627, 4739, 4831, 7070, 7094, 8754, 55914
GO:0046718	BP	e	viral entry into host cell	13/410	97/19370	9.698814042557926e-07	6	13	0.0022876852423891546	949, 975, 1605, 2838, 3383, 3678, 3688, 3839, 3916, 4864, 7037, 7852, 79581
GO:0006955	BP	e	immune response	22/410	291/19370	1.1401656053267933e-06	2	22	0.0022876852423891546	718, 1236, 1515, 1880, 2826, 3117, 3118, 3122, 3135, 4050, 4065, 4851, 7850, 7852, 8477, 8698, 8744, 8809, 9466, 23545, 81793, 375387
GO:0006491	BP	e	N-glycan processing	6/410	18/19370	1.2975041886828782e-06	6	6	0.0022876852423891546	4121, 4124, 7903, 10905, 11253, 23193
GO:0098609	BP	e	cell-cell adhesion	14/410	149/19370	3.5290346019161085e-06	3	14	0.004755974995309391	101, 302, 1499, 1829, 3384, 3689, 3728, 4040, 7070, 7094, 10611, 10890, 58494, 90952
GO:0050870	BP	e	positive regulation of T cell activation	7/410	32/19370	3.85348808565013e-06	8	7	0.004755974995309391	3108, 3109, 3117, 3118, 3122, 3329, 7070
GO:0010498	BP	e	proteasomal protein catabolic process	7/410	34/19370	5.938177559973944e-06	7	7	0.006662635222290765	1642, 5366, 5686, 5688, 5690, 5691, 7415
GO:0006689	BP	e	ganglioside catabolic process	4/410	7/19370	6.583000036871739e-06	9	4	0.006770615537922584	2760, 3073, 3074, 4758
GO:0061738	BP	e	late endosomal microautophagy	3/410	3/19370	9.415550813546945e-06	5	3	0.008938979087753568	3312, 9525, 27183
GO:0033344	BP	e	cholesterol efflux	6/410	25/19370	1.0916520539720723e-05	8	6	0.00939852638590472	338, 344, 949, 4864, 23673, 55937
GO:0002181	BP	e	cytoplasmic translation	10/410	85/19370	1.2308041426116303e-05	8	10	0.00939852638590472	4733, 6122, 6129, 6133, 6156, 6188, 6223, 6230, 7311, 23521
GO:0006517	BP	e	protein deglycosylation	4/410	8/19370	1.2945628630722756e-05	7	4	0.00939852638590472	175, 4124, 4125, 11315
GO:0006868	BP	e	glutamine transport	4/410	8/19370	1.2945628630722756e-05	8	4	0.00939852638590472	6509, 54407, 81539, 92745
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	5/410	16/19370	1.4940031155455619e-05	8	5	0.010243881362257403	3108, 3109, 3117, 3118, 3122
GO:0045732	BP	e	positive regulation of protein catabolic process	9/410	72/19370	2.0464448341972363e-05	7	9	0.011782684514394369	1642, 6653, 7124, 7128, 7415, 7879, 26088, 51160, 80762
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	5/410	17/19370	2.0798088682412948e-05	7	5	0.011782684514394369	3108, 3109, 3117, 3118, 3122
GO:0009313	BP	e	oligosaccharide catabolic process	4/410	9/19370	2.2912366581223856e-05	5	4	0.011782684514394369	2760, 3074, 4126, 4758
GO:0015825	BP	e	L-serine transport	4/410	9/19370	2.2912366581223856e-05	9	4	0.011782684514394369	6509, 54407, 92745, 94081
GO:0001768	BP	e	establishment of T cell polarity	4/410	9/19370	2.2912366581223856e-05	5	4	0.011782684514394369	1236, 1794, 4627, 56253
GO:0090382	BP	e	phagosome maturation	4/410	9/19370	2.2912366581223856e-05	5	4	0.011782684514394369	7879, 51552, 55686, 57192
GO:0006622	BP	e	protein targeting to lysosome	5/410	18/19370	2.8298313488625957e-05	9	5	0.013970311403064862	6653, 7805, 7879, 9146, 27183
