# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	7/284	16/19370	6.670888308456878e-08	8	7	0.0006283907833707498	567, 3109, 3111, 3115, 3117, 3118, 3122
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	7/284	17/19370	1.0182965214239991e-07	7	7	0.0006283907833707498	567, 3109, 3111, 3115, 3117, 3118, 3122
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	13/284	30/19370	2.0633084419682988e-07	5	13	0.0006843202295711654	567, 972, 1509, 1520, 2213, 3109, 3111, 3115, 3117, 3118, 3122, 5641, 10437
GO:0033631	BP	e	cell-cell adhesion mediated by integrin	4/284	5/19370	2.2366274138108875e-07	4	4	0.0006843202295711654	3676, 3688, 8754, 255743
GO:0006955	BP	e	immune response	25/284	291/19370	3.2431244767145636e-07	2	25	0.0006843202295711654	567, 976, 1075, 1269, 1520, 2213, 2826, 3117, 3118, 3122, 3133, 4050, 4065, 4851, 6892, 8698, 8743, 8744, 8809, 9466, 10507, 10581, 54900, 81793, 375387
GO:0050870	BP	e	positive regulation of T cell activation	8/284	32/19370	3.326787698450002e-07	8	8	0.0006843202295711654	567, 3109, 3111, 3115, 3117, 3118, 3122, 3329
GO:0019882	BP	e	antigen processing and presentation	6/284	24/19370	1.01578149404322e-06	2	6	0.001790967885640203	972, 1512, 1520, 5867, 5869, 10890
GO:0046718	BP	e	viral entry into host cell	10/284	97/19370	1.6032799744714555e-06	6	10	0.002473460180615838	950, 975, 3304, 3383, 3688, 3839, 6520, 7037, 11060, 79581
GO:0006622	BP	e	protein targeting to lysosome	5/284	18/19370	4.792971278093346e-06	9	5	0.006572761279358675	950, 6653, 7805, 7879, 8031
GO:0007229	BP	e	integrin-mediated signaling pathway	9/284	93/19370	9.045759618070508e-06	6	9	0.01116427652062262	102, 998, 3676, 3684, 3688, 3689, 4627, 4831, 8754
GO:0008360	BP	e	regulation of cell shape	11/284	148/19370	1.1999500039774376e-05	6	11	0.013463439044626851	391, 396, 3074, 3383, 3689, 4627, 4628, 7430, 10154, 10507, 64218
GO:0006886	BP	e	intracellular protein transport	15/284	279/19370	1.7043717156094373e-05	6	15	0.017529463095043062	163, 972, 5869, 5878, 7805, 8676, 9482, 9559, 10483, 10961, 23011, 23062, 51552, 55014, 64374
GO:0002250	BP	e	adaptive immune response	12/284	189/19370	2.375560333188949e-05	3	12	0.022193498404742162	1512, 1520, 3109, 3111, 3115, 3117, 3118, 3122, 3133, 54900, 57192, 259307
GO:0006464	BP	e	cellular protein modification process	8/284	82/19370	2.697313855705173e-05	6	8	0.022193498404742162	4125, 4126, 4738, 7322, 7323, 7903, 11060, 23170
GO:0006911	BP	e	phagocytosis, engulfment	5/284	26/19370	3.342483155732049e-05	7	5	0.02578307944252809	998, 2213, 3684, 3689, 4627
GO:0007040	BP	e	lysosome organization	6/284	43/19370	3.6416245464429075e-05	7	6	0.026438194207175508	1200, 2548, 2896, 3074, 55004, 79158
GO:0007159	BP	e	leukocyte cell-cell adhesion	5/284	28/19370	4.875508129439199e-05	4	5	0.032777161058350934	3383, 3676, 3688, 3689, 7430
GO:0016064	BP	e	immunoglobulin mediated immune response	4/284	15/19370	5.4369525042193974e-05	6	4	0.032777161058350934	930, 939, 972, 2213
GO:0051603	BP	e	proteolysis involved in cellular protein catabolic process	5/284	29/19370	5.821017307506823e-05	6	5	0.032777161058350934	1075, 1512, 1520, 1522, 5641
GO:0002925	BP	e	positive regulation of humoral immune response mediated by circulating immunoglobulin	3/284	6/19370	6.03693703809677e-05	10	3	0.032777161058350934	2208, 4049, 7124
GO:0016139	BP	e	glycoside catabolic process	3/284	6/19370	6.03693703809677e-05	6	3	0.032777161058350934	2517, 2519, 2717
GO:1901224	BP	e	positive regulation of NIK/NF-kappaB signaling	7/284	68/19370	6.108205350365188e-05	8	7	0.032777161058350934	811, 939, 7124, 7805, 8809, 9111, 51284
