# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006335	BP	e	DNA replication-dependent nucleosome assembly	14/349	32/19370	7.394000589087311e-08	9	14	0.0003952677611443426	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313
GO:0050870	BP	e	positive regulation of T cell activation	9/349	32/19370	7.394000589087311e-08	8	9	0.0003952677611443426	567, 3108, 3109, 3112, 3113, 3117, 3118, 3122, 3123
GO:0006352	BP	e	DNA-templated transcription, initiation	14/349	33/19370	9.607869740990339e-08	8	14	0.0003952677611443426	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	9/349	16/19370	2.2537754700502017e-07	8	9	0.00042408102263265864	567, 3108, 3109, 3112, 3113, 3117, 3118, 3122, 3123
GO:0050821	BP	e	protein stabilization	17/349	186/19370	2.7648517997504704e-07	4	17	0.00042408102263265864	483, 811, 2597, 2896, 3009, 3326, 3916, 5216, 7203, 10437, 10694, 11140, 11315, 22948, 23011, 23673, 29997
GO:0006412	BP	e	translation	21/349	188/19370	3.1989778881495964e-07	7	21	0.00042408102263265864	1915, 6123, 6124, 6129, 6132, 6138, 6154, 6156, 6160, 6176, 6181, 6207, 6208, 6223, 6230, 6231, 6234, 7453, 10318, 23521, 25873
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	9/349	17/19370	3.430372559052533e-07	7	9	0.00042408102263265864	567, 3108, 3109, 3112, 3113, 3117, 3118, 3122, 3123
GO:0006955	BP	e	immune response	24/349	291/19370	3.5963936874179974e-07	2	24	0.00042408102263265864	567, 976, 1075, 1235, 1236, 1880, 2495, 2826, 2833, 3107, 3113, 3117, 3118, 3122, 3123, 3133, 3134, 3135, 3561, 4065, 4851, 7096, 8743, 81793
GO:0002181	BP	e	cytoplasmic translation	16/349	85/19370	3.603474887022777e-07	8	16	0.00042408102263265864	6124, 6129, 6132, 6138, 6154, 6156, 6160, 6176, 6207, 6208, 6223, 6230, 6231, 6234, 23521, 25873
GO:0032200	BP	e	telomere organization	14/349	27/19370	3.779688258758098e-07	6	14	0.00042408102263265864	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313
GO:0006336	BP	e	DNA replication-independent nucleosome assembly	14/349	27/19370	3.779688258758098e-07	9	14	0.00042408102263265864	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313
GO:0045653	BP	e	negative regulation of megakaryocyte differentiation	14/349	18/19370	5.067676342080618e-07	8	14	0.0005212105117829916	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 554313
GO:0019082	BP	e	viral protein processing	8/349	29/19370	6.440213573160898e-07	2	8	0.0006114239686150139	2589, 2932, 4124, 4245, 4247, 4249, 5045, 6480
GO:0006334	BP	e	nucleosome assembly	20/349	110/19370	7.005043453027986e-07	8	20	0.0006175446164090815	3006, 3008, 3009, 8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 121504, 126961, 333932, 554313, 653604
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	12/349	30/19370	8.271057565356791e-07	5	12	0.0006805426164775567	567, 972, 1509, 3108, 3109, 3112, 3113, 3117, 3118, 3122, 3123, 10437
GO:0006457	BP	e	protein folding	14/349	135/19370	1.0230190843347603e-06	2	14	0.0007891313461787258	811, 2923, 3312, 3326, 6767, 7184, 7203, 9601, 10694, 11140, 22948, 23071, 51726, 64374
GO:0002250	BP	e	adaptive immune response	15/349	189/19370	1.8115524618017004e-06	3	15	0.0012421211379753658	1512, 1880, 2185, 3107, 3108, 3109, 3112, 3113, 3117, 3118, 3122, 3133, 3902, 6890, 151888
GO:0006954	BP	e	inflammatory response	22/349	386/19370	2.2084722074373343e-06	4	22	0.0014345770517995569	658, 958, 976, 1236, 2833, 3627, 4065, 4282, 6348, 6349, 7096, 7124, 7128, 9450, 10318, 11315, 29110, 51284, 81793, 84695, 122618, 414062
