# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006096	BP	e	glycolytic process	7/221	34/19370	9.475470010699769e-08	12	7	0.000995975823015662	2023, 2597, 3939, 5213, 5223, 5230, 7167
GO:0046718	BP	e	viral entry into host cell	10/221	97/19370	1.6139617938999545e-07	6	10	0.000995975823015662	949, 3303, 3673, 3839, 3949, 4864, 5245, 6504, 6520, 7037
GO:0042026	BP	e	protein refolding	5/221	18/19370	1.402744642654174e-06	3	5	0.005529776081370579	3303, 3313, 3320, 3329, 6782
GO:0039694	BP	e	viral RNA genome replication	4/221	9/19370	1.9868363822401366e-06	3	4	0.005529776081370579	998, 5093, 5094, 5868
GO:0043066	BP	e	negative regulation of apoptotic process	19/221	473/19370	2.240226900571455e-06	7	19	0.005529776081370579	102, 308, 440, 972, 1072, 1654, 3303, 3313, 3315, 3329, 3560, 3875, 5621, 7037, 7184, 7416, 11315, 63893, 64855
GO:0051131	BP	e	chaperone-mediated protein complex assembly	5/221	22/19370	4.1538137325531136e-06	7	5	0.007970003905133817	3303, 3320, 3329, 9361, 10576
GO:0009615	BP	e	response to virus	9/221	110/19370	4.76666746216233e-06	5	9	0.007970003905133817	338, 684, 1072, 1654, 2023, 3315, 3434, 7124, 23586
GO:0002181	BP	e	cytoplasmic translation	8/221	85/19370	5.726171172917911e-06	8	8	0.007970003905133817	6133, 6144, 6156, 6161, 6187, 6207, 6217, 7311
GO:0042159	BP	e	lipoprotein catabolic process	3/221	4/19370	5.811864782547751e-06	6	3	0.007970003905133817	338, 1509, 3949
GO:0050821	BP	e	protein stabilization	11/221	186/19370	9.91487551537577e-06	4	11	0.012236939361076773	2319, 2597, 3303, 3320, 3329, 5216, 5245, 6950, 10211, 10576, 11315
GO:0034383	BP	e	low-density lipoprotein particle clearance	4/221	14/19370	1.5091023502562103e-05	3	4	0.01693212836987468	338, 949, 3949, 3988
GO:0051603	BP	e	proteolysis involved in cellular protein catabolic process	5/221	29/19370	1.7551854997717152e-05	6	5	0.018052082865152093	1075, 1520, 1522, 5641, 9361
GO:0042776	BP	e	mitochondrial ATP synthesis coupled proton transport	4/221	15/19370	2.0394820625879128e-05	13	4	0.01839622061791881	515, 521, 522, 30968
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	5/221	30/19370	2.086753270546616e-05	5	5	0.01839622061791881	972, 1509, 1520, 3122, 5641
GO:0006508	BP	e	proteolysis	16/221	414/19370	2.3273269948033022e-05	5	16	0.01914924651324157	327, 1075, 1509, 1520, 1522, 1738, 4012, 4738, 5476, 5641, 7037, 11098, 11315, 51056, 117159, 646960
GO:0001765	BP	e	membrane raft assembly	3/221	6/19370	2.8571130446752285e-05	6	3	0.022039055748363543	302, 2319, 10211
GO:0051897	BP	e	positive regulation of protein kinase B signaling	8/221	109/19370	3.577239987631478e-05	8	8	0.02597076231020453	3320, 4233, 5245, 7124, 7162, 7295, 9518, 11315
GO:0006622	BP	e	protein targeting to lysosome	4/221	18/19370	4.4506618852326186e-05	9	4	0.03051670499307832	6653, 7805, 7879, 8031
GO:0006412	BP	e	translation	10/221	188/19370	6.21266831820909e-05	7	10	0.04035618546491399	1915, 6133, 6144, 6156, 6161, 6181, 6187, 6207, 6217, 7453
GO:0006897	BP	e	endocytosis	10/221	191/19370	7.093567891349268e-05	5	10	0.04377440745751633	998, 3949, 3959, 4864, 5868, 5869, 5878, 7879, 29967, 51293
GO:0070837	BP	e	dehydroascorbic acid transport	3/221	8/19370	7.865660446002198e-05	7	3	0.046227610106932916	6513, 11182, 144195
GO:0043202	CC	e	lysosomal lumen	13/221	95/19370	1.3227739340750073e-07	6	13	9.083418776504836e-05	338, 972, 1509, 1520, 2548, 2717, 3074, 3320, 3988, 4125, 5476, 5641, 23646
GO:0042470	CC	e	melanosome	18/221	100/19370	2.156326157735762e-07	8	18	9.083418776504836e-05	302, 476, 967, 1509, 2040, 3320, 5868, 5869, 5878, 5901, 6184, 6386, 6513, 6520, 7037, 7184, 10211, 23193
GO:0035577	CC	e	azurophil granule membrane	8/221	57/19370	2.585113609869753e-07	8	8	9.083418776504836e-05	527, 684, 967, 2040, 2548, 5878, 9218, 55004
GO:0005765	CC	e	lysosomal membrane	25/221	330/19370	2.636097383144636e-07	7	25	9.083418776504836e-05	302, 527, 949, 967, 972, 1509, 2548, 3122, 4012, 4864, 5878, 6520, 7311, 7805, 7879, 8649, 9516, 10211, 11182, 11342, 23646, 51374, 51552, 55004, 55737
GO:0009897	CC	e	external side of plasma membrane	17/221	294/19370	2.8745027541096137e-07	3	17	9.083418776504836e-05	933, 972, 1209, 2208, 2826, 2936, 3560, 3673, 3675, 3875, 3949, 3977, 6504, 7037, 7124, 7412, 10211
GO:0005925	CC	e	focal adhesion	33/221	418/19370	3.539004327796568e-07	5	33	9.083418776504836e-05	60, 102, 308, 391, 527, 976, 998, 1072, 2195, 2319, 3303, 3313, 3315, 3482, 3673, 3675, 3897, 4627, 5094, 5216, 5339, 6133, 6156, 6181, 6187, 6207, 6217, 6386, 7184, 7431, 8649, 10211, 51056
GO:0010008	CC	e	endosome membrane	16/221	227/19370	3.6271495399619997e-07	6	16	9.083418776504836e-05	338, 527, 967, 1509, 3482, 3949, 5868, 6653, 7037, 7311, 7879, 8649, 51293, 55240, 55737, 80762
GO:0005769	CC	e	early endosome	16/221	268/19370	4.786280068388707e-07	8	16	0.00010374855617986196	302, 338, 933, 3329, 3482, 3949, 5245, 5868, 5869, 5878, 6653, 7037, 7412, 10211, 51552, 55737
GO:0048471	CC	e	perinuclear region of cytoplasm	25/221	708/19370	5.80127779346369e-07	2	25	0.00010374855617986196	302, 2040, 2195, 2288, 2319, 2597, 2634, 3303, 3320, 3482, 3673, 3675, 3875, 4864, 5339, 5641, 7037, 7184, 7805, 9218, 9748, 11315, 51374, 51552, 80762
GO:0072562	CC	e	blood microparticle	10/221	112/19370	6.258926443387295e-07	2	10	0.00010374855617986196	60, 720, 2040, 3303, 3848, 3959, 5216, 6386, 6513, 7037
GO:0005764	CC	e	lysosome	20/221	275/19370	6.63676142245335e-07	7	20	0.00010374855617986196	949, 1075, 1509, 1520, 1522, 2519, 2548, 2717, 3122, 3949, 3988, 4125, 4864, 5476, 5641, 7805, 7879, 51552, 55004, 55737
GO:0045121	CC	e	membrane raft	18/221	240/19370	7.102011832049877e-07	4	18	0.00010374855617986196	302, 476, 490, 684, 1509, 2040, 3329, 4864, 5230, 5621, 5868, 6386, 7124, 7416, 10211, 11315, 30968, 55004
GO:0009986	CC	e	cell surface	32/221	578/19370	8.431882558022268e-07	2	32	0.00011337664541290477	102, 302, 522, 684, 933, 949, 967, 972, 1522, 1829, 2023, 2826, 3122, 3329, 3482, 3560, 3673, 3675, 3858, 3897, 3949, 4233, 4851, 5245, 5621, 6520, 6653, 7037, 7124, 7162, 7412, 8795
GO:0070062	CC	e	extracellular exosome	134/221	2095/19370	9.574371320854128e-07	6	134	0.00011337664541290477	16, 60, 102, 302, 308, 327, 334, 338, 391, 397, 476, 490, 527, 684, 720, 933, 949, 967, 972, 976, 998, 1072, 1073, 1075, 1362, 1509, 1522, 1654, 1829, 1915, 2023, 2040, 2195, 2208, 2288, 2319, 2519, 2548, 2597, 2618, 2717, 2936, 3074, 3094, 3122, 3178, 3181, 3303, 3313, 3315, 3320, 3329, 3482, 3675, 3848, 3856, 3857, 3858, 3875, 3939, 3959, 3977, 4125, 4627, 4670, 4738, 4864, 5093, 5094, 5216, 5223, 5230, 5245, 5339, 5476, 5518, 5621, 5641, 5868, 5869, 5878, 5901, 6156, 6181, 6187, 6207, 6217, 6386, 6504, 6513, 6520, 6566, 6653, 6742, 6782, 6950, 7037, 7086, 7167, 7184, 7295, 7311, 7412, 7416, 7431, 7453, 7879, 8649, 8662, 8804, 8878, 9144, 9518, 9555, 9748, 10211, 10493, 10576, 10591, 10606, 10856, 11098, 11315, 23193, 23646, 26227, 51056, 51552, 51599, 55004, 55737, 64855, 65108, 117159
