# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	10/412	30/19370	1.5203462985119747e-07	5	10	0.0018764114016234792	972, 1509, 1515, 3108, 3109, 3117, 3118, 3122, 5641, 10437
GO:1903543	BP	e	positive regulation of exosomal secretion	6/412	15/19370	3.7990713347350624e-07	9	6	0.0023444069206650067	6386, 7879, 9146, 9525, 10015, 27183
GO:0006886	BP	e	intracellular protein transport	21/412	279/19370	6.222415927644286e-07	6	21	0.0025599019126328598	972, 1213, 5869, 5878, 7805, 8775, 9482, 9559, 10483, 10938, 10961, 11311, 22931, 23011, 23062, 23673, 51552, 51699, 55737, 81609, 81876
GO:0046718	BP	e	viral entry into host cell	12/412	97/19370	1.020629580705268e-06	6	12	0.0027455740605893614	975, 1605, 2838, 3304, 3383, 3688, 3839, 3916, 3921, 7037, 7852, 79581
GO:0006955	BP	e	immune response	22/412	291/19370	1.2324188051614233e-06	2	22	0.0027455740605893614	718, 1075, 1236, 1515, 1880, 2826, 3117, 3118, 3122, 3135, 4050, 4065, 4851, 7852, 8698, 8744, 8809, 9466, 23545, 57007, 81793, 375387
GO:0006622	BP	e	protein targeting to lysosome	6/412	18/19370	1.334746747977327e-06	9	6	0.0027455740605893614	6653, 7805, 7879, 8031, 9146, 27183
GO:0050870	BP	e	positive regulation of T cell activation	7/412	32/19370	3.978909742234195e-06	8	7	0.0061384630048318045	3108, 3109, 3117, 3118, 3122, 3329, 7070
GO:0016197	BP	e	endosomal transport	9/412	61/19370	5.323982336623001e-06	5	9	0.0073009544442890085	392, 8878, 9146, 9525, 10890, 10938, 27183, 55004, 81609
GO:0006689	BP	e	ganglioside catabolic process	4/412	7/19370	6.711181645914068e-06	9	4	0.008282940387387142	2760, 3073, 3074, 4758
GO:0061738	BP	e	late endosomal microautophagy	3/412	3/19370	9.554353338899643e-06	5	3	0.0107199844462454	3312, 9525, 27183
GO:0006868	BP	e	glutamine transport	4/412	8/19370	1.3196596585706726e-05	8	4	0.012528645773907108	6509, 54407, 81539, 92745
GO:0006517	BP	e	protein deglycosylation	4/412	8/19370	1.3196596585706726e-05	7	4	0.012528645773907108	175, 4124, 4125, 11315
GO:0001701	BP	e	in utero embryonic development	15/412	191/19370	1.5202253309347537e-05	7	15	0.012584849285750441	102, 338, 1499, 1627, 3688, 4061, 4124, 4627, 4851, 4904, 5335, 7779, 8985, 9817, 27173
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	5/412	16/19370	1.5295149836838163e-05	8	5	0.012584849285750441	3108, 3109, 3117, 3118, 3122
GO:0098609	BP	e	cell-cell adhesion	13/412	149/19370	1.8464925878094704e-05	3	13	0.013101931339636452	101, 1499, 1829, 3384, 3689, 3728, 4040, 7070, 7094, 10611, 10890, 58494, 90952
GO:0006879	BP	e	cellular iron ion homeostasis	8/412	55/19370	1.987091152609475e-05	10	8	0.013101931339636452	523, 537, 2512, 7037, 8031, 23545, 80762, 220002
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	5/412	17/19370	2.1290606924503864e-05	7	5	0.013101931339636452	3108, 3109, 3117, 3118, 3122
GO:0009615	BP	e	response to virus	11/412	110/19370	2.2794958027641764e-05	5	11	0.013101931339636452	338, 1072, 2023, 3455, 3459, 4599, 7124, 7852, 9111, 29110, 56829
GO:0009313	BP	e	oligosaccharide catabolic process	4/412	9/19370	2.3354601318425046e-05	5	4	0.013101931339636452	2760, 3074, 4126, 4758
GO:0090382	BP	e	phagosome maturation	4/412	9/19370	2.3354601318425046e-05	5	4	0.013101931339636452	7879, 51552, 55686, 57192
GO:0001768	BP	e	establishment of T cell polarity	4/412	9/19370	2.3354601318425046e-05	5	4	0.013101931339636452	1236, 1794, 4627, 56253
GO:0051603	BP	e	proteolysis involved in cellular protein catabolic process	6/412	29/19370	2.8010520342162114e-05	6	6	0.014658428771668138	1075, 1512, 1515, 1519, 1522, 5641
GO:0007229	BP	e	integrin-mediated signaling pathway	10/412	93/19370	2.850447986712326e-05	6	10	0.014658428771668138	102, 998, 3676, 3688, 3689, 4627, 7070, 7094, 8754, 55914
GO:0006954	BP	e	inflammatory response	22/412	386/19370	3.007377106072313e-05	4	22	0.014846819297257794	101, 718, 1236, 1436, 2529, 3340, 3689, 3988, 4065, 4282, 7124, 7128, 7852, 8809, 9450, 11315, 23646, 29110, 54472, 81793, 84695, 375387
GO:0048302	BP	e	regulation of isotype switching to IgG isotypes	3/412	4/19370	3.7612095468105736e-05	10	3	0.017493877416174135	9466, 80762, 121260
GO:0033572	BP	e	transferrin transport	4/412	10/19370	3.8270514522500545e-05	9	4	0.017493877416174135	392, 1213, 7037, 57192
GO:0051085	BP	e	chaperone cofactor-dependent protein refolding	6/412	31/19370	4.188249749736067e-05	5	6	0.018461206575443766	972, 3304, 3312, 3336, 6767, 6782
GO:0050821	BP	e	protein stabilization	14/412	186/19370	4.6536643245601345e-05	4	14	0.01980535348059351	483, 811, 2319, 2896, 3304, 3329, 3916, 5216, 5479, 9531, 10437, 11315, 23011, 23673
