# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006509	BP	e	membrane protein ectodomain proteolysis	8/601	20/19370	7.429127338169713e-08	7	8	0.0006051836819454324	102, 1605, 4627, 8728, 8754, 51752, 56928, 84888
GO:1903543	BP	e	positive regulation of exosomal secretion	8/601	15/19370	1.385484509881158e-07	9	8	0.0006051836819454324	6386, 7879, 8027, 9146, 9525, 10015, 23400, 27183
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	14/601	30/19370	2.0047749306134701e-07	5	14	0.0006051836819454324	567, 972, 1509, 1515, 1520, 2213, 3108, 3109, 3113, 3117, 3118, 3122, 5641, 10437
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	7/601	16/19370	2.397179859167741e-07	8	7	0.0006051836819454324	567, 3108, 3109, 3113, 3117, 3118, 3122
GO:0016241	BP	e	regulation of macroautophagy	11/601	50/19370	2.913254077223236e-07	7	11	0.0006051836819454324	523, 527, 2597, 2629, 4734, 5566, 7345, 9559, 23400, 23545, 55737
GO:0046718	BP	e	viral entry into host cell	20/601	97/19370	2.947451947968229e-07	6	20	0.0006051836819454324	941, 949, 975, 1605, 2838, 3304, 3383, 3678, 3688, 3839, 3916, 3921, 3949, 6520, 7037, 7852, 11059, 11060, 79581, 83737
GO:0050870	BP	e	positive regulation of T cell activation	9/601	32/19370	3.7181097293011976e-07	8	9	0.0006051836819454324	567, 3108, 3109, 3113, 3117, 3118, 3122, 3329, 7070
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	7/601	17/19370	3.9662119764913345e-07	7	7	0.0006051836819454324	567, 3108, 3109, 3113, 3117, 3118, 3122
GO:0006955	BP	e	immune response	33/601	291/19370	4.413104146417835e-07	2	33	0.0006051836819454324	567, 718, 941, 1075, 1236, 1515, 1520, 1880, 2213, 2826, 3113, 3117, 3118, 3122, 3134, 3135, 3561, 4050, 4065, 4851, 6693, 7850, 7852, 8482, 8698, 8744, 8809, 9466, 10507, 23545, 57007, 81793, 375387
GO:0034384	BP	e	high-density lipoprotein particle clearance	5/601	7/19370	5.641098067904699e-07	3	5	0.0006290598576967304	335, 344, 949, 3949, 55937
GO:0042026	BP	e	protein refolding	7/601	18/19370	6.316653530958917e-07	3	7	0.0006290598576967304	567, 3304, 3309, 3312, 3320, 3329, 6782
GO:0006622	BP	e	protein targeting to lysosome	9/601	18/19370	6.316653530958917e-07	9	9	0.0006290598576967304	4074, 4734, 6653, 7805, 7879, 8031, 9146, 27183, 51172
GO:0006886	BP	e	intracellular protein transport	31/601	279/19370	6.625974842049502e-07	6	31	0.0006290598576967304	972, 1213, 1315, 5476, 5861, 5868, 5869, 5878, 6396, 7805, 8775, 9482, 9559, 10016, 10483, 10938, 10961, 11276, 11311, 22931, 23011, 23062, 23673, 51014, 51552, 51699, 55737, 57403, 81609, 81876, 83548
GO:0006457	BP	e	protein folding	18/601	135/19370	9.87665349289561e-07	2	18	0.0008706975529236973	811, 821, 2923, 3312, 3320, 3329, 3336, 5034, 5478, 5479, 6767, 9531, 9601, 10130, 10961, 11140, 23071, 57003
GO:0050821	BP	e	protein stabilization	21/601	186/19370	1.438543176714679e-06	4	21	0.0011836333258008378	335, 481, 483, 811, 2319, 2597, 2896, 3304, 3320, 3329, 3916, 5216, 5479, 6201, 9531, 10437, 11140, 11315, 23011, 23673, 83548
GO:0045732	BP	e	positive regulation of protein catabolic process	12/601	72/19370	2.002733572907411e-06	7	12	0.001544858609801454	2931, 2932, 4734, 6653, 7124, 7128, 7879, 11059, 11060, 23327, 80762, 83737
GO:0016197	BP	e	endosomal transport	11/601	61/19370	2.3932877757674015e-06	5	11	0.0017375269252071334	392, 8878, 9146, 9525, 10890, 10938, 23603, 27183, 55004, 55207, 81609
GO:0009313	BP	e	oligosaccharide catabolic process	5/601	9/19370	3.213569048210533e-06	5	5	0.002203437177389689	1486, 2760, 3074, 4126, 4758
GO:0007229	BP	e	integrin-mediated signaling pathway	13/601	93/19370	5.7867639533205726e-06	6	13	0.003571012035594125	102, 335, 998, 3676, 3678, 3688, 3689, 4627, 7070, 7094, 8482, 8754, 55914
GO:0033572	BP	e	transferrin transport	5/601	10/19370	6.262768064134519e-06	9	5	0.0036807182594070583	392, 1213, 7037, 9230, 57192
GO:0001701	BP	e	in utero embryonic development	19/601	191/19370	8.249500597009453e-06	7	19	0.004627969834922303	102, 338, 538, 1499, 1627, 3688, 4061, 4124, 4245, 4627, 4851, 4853, 4904, 5335, 7779, 8985, 9817, 27173, 50515
GO:0071353	BP	e	cellular response to interleukin-4	7/601	26/19370	1.0516170329592597e-05	6	7	0.005311007766634999	1019, 2194, 3309, 6122, 9817, 10376, 11151
GO:0010248	BP	e	establishment or maintenance of transmembrane electrochemical gradient	5/601	11/19370	1.118831647484281e-05	6	5	0.005311007766634999	476, 478, 480, 481, 483
GO:0034975	BP	e	protein folding in endoplasmic reticulum	5/601	11/19370	1.118831647484281e-05	3	5	0.005311007766634999	811, 821, 2923, 3309, 5034
GO:0006491	BP	e	N-glycan processing	6/601	18/19370	1.1746686195451649e-05	6	6	0.005369540778676453	4121, 4124, 5589, 10905, 11253, 23193
GO:1901016	BP	e	regulation of potassium ion transmembrane transporter activity	4/601	6/19370	1.3097325655317877e-05	9	4	0.005773114044211902	4734, 7531, 11060, 23327
GO:0098609	BP	e	cell-cell adhesion	16/601	149/19370	1.6277366712601722e-05	3	16	0.006927422757480361	101, 1499, 1829, 3384, 3385, 3689, 3728, 4040, 4897, 7070, 7094, 8502, 10611, 10890, 58494, 90952
GO:1904996	BP	e	positive regulation of leukocyte adhesion to vascular endothelial cell	5/601	12/19370	1.8690170267735128e-05	8	5	0.007689136048146232	387, 2529, 3383, 3689, 7124
