# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0002503	BP	e	peptide antigen assembly with MHC class II protein complex	7/273	16/19370	5.2777497518351334e-08	8	7	0.0004339852885494866	567, 3108, 3109, 3112, 3113, 3117, 3122
GO:0002381	BP	e	immunoglobulin production involved in immunoglobulin-mediated immune response	7/273	17/19370	8.060322290911958e-08	7	7	0.0004339852885494866	567, 3108, 3109, 3112, 3113, 3117, 3122
GO:0006622	BP	e	protein targeting to lysosome	6/273	18/19370	1.1947915305708648e-07	9	6	0.0004339852885494866	4074, 6653, 7805, 7879, 8031, 9146
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	10/273	30/19370	1.5782170287780094e-07	5	10	0.0004339852885494866	567, 1509, 3108, 3109, 3112, 3113, 3117, 3122, 5641, 10437
GO:0016236	BP	e	macroautophagy	9/273	61/19370	1.7581643516021984e-07	5	9	0.0004339852885494866	7415, 8027, 8878, 9146, 9525, 10254, 11337, 11345, 643246
GO:0050870	BP	e	positive regulation of T cell activation	8/273	32/19370	2.5471879587522836e-07	8	8	0.0005239565631153447	567, 3108, 3109, 3112, 3113, 3117, 3122, 3932
GO:0002181	BP	e	cytoplasmic translation	11/273	85/19370	3.23973499034973e-07	8	11	0.0005712115607270909	6122, 6124, 6129, 6147, 6156, 6176, 6207, 6230, 6234, 6235, 23521
GO:0045732	BP	e	positive regulation of protein catabolic process	9/273	72/19370	7.538142579794431e-07	7	9	0.0011629469464977857	1642, 2931, 6653, 7124, 7128, 7415, 7879, 11060, 80762
GO:0006955	BP	e	immune response	21/273	291/19370	8.852941434253348e-07	2	21	0.0012140333686839423	567, 1075, 1235, 1236, 1396, 2495, 2826, 3107, 3113, 3117, 3122, 3133, 3135, 3394, 3561, 4065, 4851, 5272, 8743, 10507, 81793
GO:0032735	BP	e	positive regulation of interleukin-12 production	7/273	41/19370	1.5266632211102219e-06	8	7	0.0018842077474942357	958, 1236, 3135, 3394, 3965, 7292, 7805
GO:2000510	BP	e	positive regulation of dendritic cell chemotaxis	4/273	8/19370	2.5845155382583546e-06	10	4	0.0025478907661929916	811, 1235, 1236, 3965
GO:0006517	BP	e	protein deglycosylation	4/273	8/19370	2.5845155382583546e-06	7	4	0.0025478907661929916	4122, 4124, 4125, 11315
GO:0019082	BP	e	viral protein processing	6/273	29/19370	2.6837287279621527e-06	2	6	0.0025478907661929916	2589, 4124, 4245, 4249, 5045, 6480
GO:0002250	BP	e	adaptive immune response	13/273	189/19370	2.9662280492461906e-06	3	13	0.002614941898842606	214, 1512, 3107, 3108, 3109, 3112, 3113, 3117, 3122, 3133, 4067, 151888, 259307
GO:0006491	BP	e	N-glycan processing	5/273	18/19370	3.9527306693743806e-06	6	5	0.0030876210307568814	4121, 4122, 4124, 7903, 23193
GO:0010629	BP	e	negative regulation of gene expression	14/273	225/19370	4.002749675264147e-06	6	14	0.0030876210307568814	102, 2319, 3965, 4282, 4851, 5641, 5925, 6348, 7124, 11060, 11315, 29110, 54602, 80762
GO:0009313	BP	e	oligosaccharide catabolic process	4/273	9/19370	4.600520644480728e-06	5	4	0.0033399779878930083	2760, 3074, 4126, 4758
GO:0050901	BP	e	leukocyte tethering or rolling	5/273	20/19370	6.989181492774095e-06	6	5	0.004792248776878771	2650, 3676, 3695, 6402, 7124
GO:0043123	BP	e	positive regulation of I-kappaB kinase/NF-kappaB signaling	12/273	185/19370	1.2965148634360428e-05	8	12	0.00800079322226382	958, 1236, 2597, 3965, 7037, 7124, 7706, 8743, 8795, 29110, 54602, 80762
GO:0050821	BP	e	protein stabilization	12/273	186/19370	1.3687999769028085e-05	4	12	0.008044633007111649	483, 811, 2319, 2597, 2896, 3009, 5216, 10211, 10437, 10575, 11315, 23011
GO:0006412	BP	e	translation	12/273	188/19370	1.5240078812246635e-05	7	12	0.008549684213670363	6122, 6124, 6129, 6147, 6156, 6176, 6207, 6230, 6234, 6235, 7453, 23521
GO:0038110	BP	e	interleukin-2-mediated signaling pathway	3/273	5/19370	2.711768241636279e-05	7	3	0.013660075986349274	3560, 3561, 3716
GO:0032410	BP	e	negative regulation of transporter activity	3/273	5/19370	2.711768241636279e-05	6	3	0.013660075986349274	11060, 54602, 80762
GO:0032781	BP	e	positive regulation of ATPase activity	5/273	26/19370	2.7669899502409e-05	6	5	0.013660075986349274	483, 5216, 8775, 11345, 51726
GO:1903543	BP	e	positive regulation of exosomal secretion	4/273	15/19370	4.661711328796233e-05	9	4	0.020699476670642186	7879, 8027, 9146, 9525
GO:0071346	BP	e	cellular response to interferon-gamma	8/273	92/19370	4.703694198169826e-05	6	8	0.020699476670642186	998, 2597, 3113, 3394, 3965, 6348, 6772, 23521
GO:0007229	BP	e	integrin-mediated signaling pathway	8/273	93/19370	5.084428372293163e-05	6	8	0.020699476670642186	102, 998, 1015, 3676, 3695, 4627, 7094, 9636
GO:0002768	BP	e	immune response-regulating cell surface receptor signaling pathway	3/273	6/19370	5.366903690330173e-05	6	3	0.020699476670642186	958, 4067, 151888
GO:0042270	BP	e	protection from natural killer cell mediated cytotoxicity	3/273	6/19370	5.366903690330173e-05	10	3	0.020699476670642186	3133, 3135, 5272
GO:0036016	BP	e	cellular response to interleukin-3	3/273	6/19370	5.366903690330173e-05	6	3	0.020699476670642186	1439, 2931, 10019
